iter	Passed	Remaining
551	1269	1030
552	1271	1028
553	1273	1025
554	1275	1023
555	1278	1021
556	1280	1018
557	1282	1015
558	1285	1014
559	1287	1011
560	1290	1009
561	1292	1007
562	1294	1004
563	1297	1003
564	1299	1000
565	1301	998
566	1304	996
567	1306	993
568	1308	991
569	1311	989
570	1313	986
571	1315	984
572	1318	982
573	1320	979
574	1321	977
575	1324	974
576	1326	972
577	1328	969
578	1331	968
579	1333	965
580	1335	963
581	1337	960
582	1340	958
583	1342	956
584	1345	954
585	1347	951
586	1349	949
587	1352	947
588	1354	944
589	1355	942
590	1358	940
591	1360	937
592	1362	935
593	1365	933
594	1367	930
595	1369	928
596	1371	926
597	1373	923
598	1375	921
599	1378	919
600	1380	916
601	1382	914
602	1385	911
603	1387	909
604	1389	907
605	1392	905
606	1394	902
607	1396	900
608	1399	898
609	1401	895
610	1403	893
611	1405	891
612	1407	888
613	1410	886
614	1412	884
615	1415	882
616	1417	879
617	1419	877
618	1422	875
619	1424	873
620	1427	870
621	1429	868
622	1431	866
623	1433	863
624	1436	861
625	1438	859
626	1440	857
627	1443	855
628	1446	852
629	1448	850
630	1450	848
631	1453	846
632	1455	844
633	1458	841
634	1460	839
635	1462	837
636	1464	834
637	1467	832
638	1469	830
639	1471	827
640	1474	825
641	1476	823
642	1478	821
643	1481	818
644	1484	816
645	1486	814
646	1488	812
647	1490	809
648	1493	807
649	1495	805
650	1497	803
651	1500	800
652	1502	798
653	1504	796
654	1507	793
655	1510	791
656	1512	789
657	1514	787
658	1517	785
659	1519	782
660	1521	780
661	1523	778
662	1526	775
663	1528	773
664	1530	771
665	1533	768
666	1536	766
667	1538	764
668	1540	762
669	1543	760
670	1545	757
671	1548	755
672	1550	753
673	1552	751
674	1556	749
675	1558	746
676	1560	744
677	1563	742
678	1565	740
679	1567	737
680	1570	735
681	1572	733
682	1575	731
683	1577	728
684	1579	726
685	1582	724
686	1584	721
687	1587	719
688	1589	717
689	1591	715
690	1593	712
691	1596	710
692	1598	708
693	1600	705
694	1603	703
695	1606	701
696	1609	699
697	1611	697
698	1614	695
699	1616	692
700	1618	690
701	1621	688
702	1623	686
703	1625	683
704	1628	681
705	1631	679
706	1633	676
707	1636	674
708	1638	672
709	1640	670
710	1643	667
711	1645	665
712	1648	663
713	1650	661
714	1653	658
715	1656	656
716	1658	654
717	1660	652
718	1663	649
719	1665	647
720	1667	645
721	1670	643
722	1672	640
723	1675	638
724	1677	636
725	1679	633
726	1681	631
727	1683	629
728	1685	626
729	1688	624
730	1690	622
731	1693	619
732	1696	617
733	1698	615
734	1701	613
735	1704	611
736	1706	608
737	1709	606
738	1711	604
739	1714	602
740	1716	599
741	1718	597
742	1721	595
743	1724	593
744	1726	590
745	1729	588
746	1731	586
747	1733	584
748	1736	581
749	1738	579
750	1741	577
751	1743	575
752	1745	572
753	1748	570
754	1750	568
755	1753	565
756	1755	563
757	1757	561
758	1760	559
759	1763	556
760	1765	554
761	1767	552
762	1770	549
763	1772	547
764	1774	545
765	1776	542
766	1778	540
767	1781	538
768	1783	535
769	1785	533
770	1788	531
771	1790	528
772	1792	526
773	1795	524
774	1797	521
775	1800	519
776	1802	517
777	1804	514
778	1807	512
779	1809	510
780	1812	508
781	1815	506
782	1818	503
783	1821	501
784	1823	499
785	1826	497
786	1829	495
787	1831	492
788	1833	490
789	1836	488
790	1838	485
791	1841	483
792	1843	481
793	1846	479
794	1848	476
795	1851	474
796	1853	472
797	1856	469
798	1860	467
799	1862	465
800	1866	463
801	1869	461
802	1871	459
803	1874	456
804	1876	454
805	1879	452
806	1881	450
807	1884	447
808	1886	445
809	1889	443
810	1892	440
811	1894	438
812	1896	436
813	1899	434
814	1901	431
815	1904	429
816	1906	427
817	1908	424
818	1911	422
819	1914	420
820	1916	417
821	1919	415
822	1921	413
823	1923	410
824	1926	408
825	1928	406
826	1931	404
827	1933	401
828	1936	399
829	1938	397
830	1940	394
831	1943	392
832	1946	390
833	1948	387
834	1951	385
835	1953	383
836	1955	380
837	1958	378
838	1960	376
839	1963	373
840	1965	371
841	1967	369
842	1970	366
843	1972	364
844	1975	362
845	1978	360
846	1980	357
847	1982	355
848	1985	353
849	1987	350
850	1989	348
851	1992	346
852	1994	343
853	1996	341
854	1999	339
855	2000	336
856	2003	334
857	2005	331
858	2007	329
859	2010	327
860	2012	324
861	2014	322
862	2018	320
863	2020	317
864	2022	315
865	2024	313
866	2026	310
867	2028	308
868	2031	306
869	2033	303
870	2035	301
871	2038	299
872	2040	296
873	2042	294
874	2045	292
875	2047	289
876	2050	287
877	2052	285
878	2054	282
879	2057	280
880	2059	278
881	2061	275
882	2064	273
883	2066	271
884	2068	268
885	2071	266
886	2073	264
887	2075	261
888	2078	259
889	2080	257
890	2083	254
891	2085	252
892	2088	250
893	2090	247
894	2093	245
895	2095	243
896	2097	240
897	2099	238
898	2101	236
899	2104	233
900	2106	231
901	2108	229
902	2111	226
903	2113	224
904	2116	222
905	2118	219
906	2120	217
907	2123	215
908	2125	212
909	2128	210
910	2130	208
911	2132	205
912	2134	203
913	2137	201
914	2139	198
915	2141	196
916	2143	194
917	2145	191
918	2148	189
919	2150	186
920	2152	184
921	2155	182
922	2157	179
923	2159	177
924	2162	175
925	2164	172
926	2166	170
927	2169	168
928	2171	165
929	2173	163
930	2176	161
931	2178	158
932	2180	156
933	2183	154
934	2185	151
935	2187	149
936	2189	147
937	2191	144
938	2193	142
939	2195	140
940	2198	137
941	2200	135
942	2202	133
943	2204	130
944	2206	128
945	2209	126
946	2211	123
947	2213	121
948	2216	119
949	2218	116
950	2220	114
951	2223	112
952	2225	109
953	2227	107
954	2229	105
955	2231	102
956	2233	100
957	2236	98
958	2238	95
959	2240	93
960	2242	91
961	2244	88
962	2246	86
963	2249	83
964	2251	81
965	2253	79
966	2255	76
967	2257	74
968	2259	72
969	2262	69
970	2264	67
971	2266	65
972	2268	62
973	2270	60
974	2272	58
975	2275	55
976	2277	53
977	2279	51
978	2281	48
979	2283	46
980	2285	44
981	2288	41
982	2290	39
983	2292	37
984	2295	34
985	2297	32
986	2299	30
987	2301	27
988	2303	25
989	2305	23
990	2307	20
991	2309	18
992	2311	16
993	2313	13
994	2316	11
995	2318	9
996	2321	6
997	2323	4
998	2325	2
999	2328	0
