iter	Passed	Remaining
442	1259	1583
443	1262	1580
444	1264	1577
445	1267	1575
446	1270	1571
447	1273	1568
448	1277	1567
449	1279	1563
450	1283	1562
451	1286	1559
452	1290	1557
453	1292	1554
454	1295	1551
455	1297	1547
456	1300	1544
457	1302	1541
458	1304	1537
459	1306	1534
460	1309	1530
461	1311	1527
462	1314	1524
463	1316	1521
464	1319	1518
465	1323	1516
466	1325	1512
467	1328	1510
468	1331	1507
469	1334	1504
470	1337	1501
471	1340	1499
472	1343	1496
473	1345	1493
474	1349	1491
475	1351	1487
476	1354	1485
477	1357	1482
478	1359	1478
479	1362	1476
480	1364	1472
481	1367	1469
482	1370	1466
483	1372	1463
484	1375	1460
485	1377	1456
486	1379	1453
487	1382	1450
488	1384	1446
489	1386	1443
490	1388	1439
491	1391	1436
492	1394	1433
493	1396	1430
494	1398	1427
495	1401	1423
496	1403	1420
497	1405	1417
498	1408	1413
499	1410	1410
500	1413	1407
501	1415	1404
502	1417	1401
503	1420	1398
504	1422	1394
505	1425	1391
506	1427	1388
507	1430	1385
508	1432	1381
509	1435	1378
510	1437	1375
511	1440	1373
512	1443	1370
513	1445	1366
514	1448	1363
515	1450	1360
516	1453	1358
517	1456	1355
518	1459	1352
519	1461	1349
520	1464	1346
521	1466	1343
522	1468	1339
523	1471	1336
524	1473	1333
525	1475	1329
526	1478	1326
527	1480	1323
528	1483	1320
529	1485	1317
530	1487	1313
531	1489	1310
532	1492	1307
533	1495	1304
534	1497	1301
535	1499	1298
536	1502	1295
537	1504	1291
538	1506	1288
539	1508	1285
540	1511	1282
541	1513	1279
542	1516	1275
543	1518	1272
544	1520	1269
545	1522	1266
546	1525	1263
547	1527	1260
548	1530	1257
549	1532	1253
550	1534	1250
551	1536	1247
552	1539	1244
553	1541	1241
554	1543	1237
555	1546	1234
556	1548	1231
557	1550	1227
558	1552	1224
559	1554	1221
560	1557	1218
561	1559	1215
562	1561	1212
563	1564	1209
564	1566	1205
565	1568	1202
566	1570	1199
567	1572	1196
568	1575	1193
569	1577	1190
570	1580	1187
571	1582	1184
572	1584	1181
573	1587	1178
574	1590	1175
575	1592	1172
576	1595	1169
577	1597	1166
578	1600	1163
579	1602	1160
580	1604	1157
581	1606	1153
582	1609	1150
583	1611	1147
584	1613	1144
585	1615	1141
586	1618	1138
587	1620	1135
588	1622	1132
589	1625	1129
590	1627	1126
591	1629	1122
592	1631	1119
593	1634	1116
594	1636	1113
595	1638	1110
596	1640	1107
597	1643	1104
598	1645	1101
599	1648	1098
600	1650	1095
601	1652	1092
602	1655	1089
603	1657	1086
604	1659	1083
605	1662	1080
606	1664	1077
607	1666	1074
608	1669	1071
609	1671	1068
610	1673	1065
611	1676	1063
612	1679	1060
613	1681	1056
614	1683	1054
615	1686	1051
616	1688	1048
617	1690	1045
618	1693	1042
619	1695	1039
620	1697	1035
621	1699	1032
622	1701	1029
623	1704	1026
624	1706	1023
625	1709	1021
626	1711	1018
627	1713	1014
628	1715	1012
629	1718	1009
630	1720	1006
631	1722	1003
632	1725	1000
633	1727	997
634	1730	994
635	1732	991
636	1734	988
637	1736	985
638	1739	982
639	1741	979
640	1744	976
641	1746	973
642	1748	971
643	1751	968
644	1753	965
645	1756	962
646	1758	959
647	1760	956
648	1763	953
649	1765	950
650	1768	947
651	1770	945
652	1772	942
653	1775	939
654	1777	936
655	1779	933
656	1782	930
657	1784	927
658	1786	924
659	1788	921
660	1791	918
661	1793	915
662	1795	912
663	1798	909
664	1800	906
665	1803	904
666	1805	901
667	1807	898
668	1810	895
669	1812	892
670	1814	889
671	1817	886
672	1819	884
673	1821	881
674	1824	878
675	1826	875
676	1829	872
677	1831	869
678	1833	866
679	1835	863
680	1838	861
681	1840	858
682	1842	855
683	1844	852
684	1847	849
685	1849	846
686	1851	843
687	1853	840
688	1856	838
689	1858	835
690	1861	832
691	1863	829
692	1865	826
693	1867	823
694	1870	820
695	1872	817
696	1874	815
697	1877	812
698	1879	809
699	1881	806
700	1884	803
701	1886	800
702	1889	798
703	1891	795
704	1893	792
705	1896	789
706	1898	786
707	1900	783
708	1902	780
709	1904	778
710	1907	775
711	1909	772
712	1911	769
713	1913	766
714	1916	763
715	1918	760
716	1921	758
717	1923	755
718	1925	752
719	1927	749
720	1930	746
721	1932	744
722	1934	741
723	1937	738
724	1939	735
725	1941	732
726	1944	730
727	1946	727
728	1948	724
729	1950	721
730	1953	718
731	1955	715
732	1957	713
733	1960	710
734	1962	707
735	1965	704
736	1967	702
737	1969	699
738	1972	696
739	1974	693
740	1977	691
741	1980	688
742	1982	685
743	1985	683
744	1987	680
745	1990	677
746	1992	674
747	1994	672
748	1996	669
749	1999	666
750	2001	663
751	2003	660
752	2005	658
753	2008	655
754	2010	652
755	2012	649
756	2015	646
757	2017	644
758	2019	641
759	2022	638
760	2024	635
761	2027	633
762	2029	630
763	2031	627
764	2034	624
765	2036	622
766	2038	619
767	2040	616
768	2043	613
769	2045	610
770	2047	608
771	2049	605
772	2052	602
773	2054	599
774	2057	597
775	2059	594
776	2061	591
777	2063	588
778	2066	586
779	2068	583
780	2070	580
781	2073	577
782	2075	575
783	2077	572
784	2080	569
785	2082	567
786	2084	564
787	2087	561
788	2089	558
789	2091	556
790	2093	553
791	2096	550
792	2098	547
793	2100	545
794	2103	542
795	2105	539
796	2107	536
797	2109	534
798	2112	531
799	2114	528
800	2116	525
801	2119	523
802	2121	520
803	2123	517
804	2126	515
805	2128	512
806	2130	509
807	2133	506
808	2135	504
809	2137	501
810	2139	498
811	2141	495
812	2144	493
813	2146	490
814	2148	487
815	2150	484
816	2153	482
817	2155	479
818	2157	476
819	2160	474
820	2162	471
821	2164	468
822	2166	466
823	2168	463
824	2171	460
825	2173	457
826	2175	455
827	2178	452
828	2181	449
829	2183	447
830	2186	444
831	2188	441
832	2190	439
833	2193	436
834	2195	433
835	2197	431
836	2199	428
837	2201	425
838	2204	423
839	2206	420
840	2208	417
841	2211	414
842	2213	412
843	2215	409
844	2218	406
845	2220	404
846	2222	401
847	2225	398
848	2227	396
849	2229	393
850	2232	390
851	2234	388
852	2237	385
853	2239	382
854	2241	380
855	2243	377
856	2246	374
857	2248	372
858	2250	369
859	2252	366
860	2254	364
861	2257	361
862	2259	358
863	2261	356
864	2264	353
865	2266	350
866	2269	348
867	2271	345
868	2273	342
869	2276	340
870	2278	337
871	2280	334
872	2283	332
873	2285	329
874	2287	326
875	2290	324
876	2292	321
877	2295	318
878	2297	316
879	2299	313
880	2302	310
881	2304	308
882	2307	305
883	2309	303
884	2311	300
885	2313	297
886	2315	295
887	2318	292
888	2320	289
889	2323	287
890	2325	284
891	2327	281
892	2330	279
893	2332	276
894	2334	273
895	2337	271
896	2340	268
897	2342	266
898	2344	263
899	2347	260
900	2350	258
901	2353	255
902	2355	253
903	2357	250
904	2360	247
905	2363	245
906	2366	242
907	2369	240
908	2372	237
909	2375	234
910	2378	232
911	2380	229
912	2383	227
913	2386	224
914	2388	221
915	2391	219
916	2394	216
917	2397	214
918	2401	211
919	2408	209
920	2414	207
921	2423	205
922	2429	202
923	2434	200
924	2440	197
925	2445	195
926	2448	192
927	2451	190
928	2454	187
929	2457	184
930	2459	182
931	2461	179
932	2464	176
933	2466	174
934	2469	171
935	2474	169
936	2478	166
937	2481	164
938	2483	161
939	2486	158
940	2488	156
941	2490	153
942	2493	150
943	2495	148
944	2497	145
945	2499	142
946	2501	140
947	2504	137
948	2506	134
949	2509	132
950	2512	129
951	2514	126
952	2517	124
953	2519	121
954	2522	118
955	2524	116
956	2527	113
957	2529	110
958	2531	108
959	2534	105
960	2536	102
961	2539	100
962	2542	97
963	2544	95
964	2547	92
965	2551	89
966	2553	87
967	2556	84
968	2558	81
969	2560	79
970	2563	76
971	2565	73
972	2568	71
973	2571	68
974	2573	65
975	2576	63
976	2579	60
977	2581	58
978	2583	55
979	2585	52
980	2589	50
981	2591	47
982	2593	44
983	2596	42
984	2598	39
985	2600	36
986	2603	34
987	2605	31
988	2608	29
989	2610	26
990	2612	23
991	2615	21
992	2617	18
993	2619	15
994	2623	13
995	2625	10
996	2628	7
997	2631	5
998	2634	2
999	2636	0
